Season,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Height,Weight
2021,110,Dejan Davidovac,ZVE,33,22.7,7.2,2.7,5.5,.489,0.8,2.2,.378,1.0,1.2,.780,0.9,2.0,2.9,1.6,1.1,0.2,1.1,2.1,6-8,210
2021,114,Youssoupha Fall,BASK,32,11.7,7.0,2.7,4.3,.628,0.0,0.0,.000,1.7,2.2,.757,1.3,1.9,3.2,0.5,0.5,0.7,1.8,2.0,7-3,271
2021,116,Rokas Jokubaitis,ZAL,31,20.9,7.0,2.6,5.9,.448,0.6,1.6,.388,1.0,1.3,.756,0.4,1.3,1.7,2.5,0.5,0.0,1.5,1.6,6-4,182
2021,117,Martin Hermannsson,VAL,29,17.7,6.9,2.3,5.3,.435,0.6,1.6,.383,1.6,1.9,.870,0.4,1.1,1.5,3.4,0.5,0.0,1.3,1.9,6-3,170
2021,118,Tibor Pleiss,EFE,24,12.0,6.8,2.8,4.8,.574,0.3,0.7,.412,1.0,1.1,.889,0.9,1.8,2.7,0.5,0.2,0.3,0.8,0.9,7-3,256
2021,119,Nicolas Laprovittola,RMB,34,17.6,6.8,2.1,5.5,.374,1.2,3.6,.347,1.4,1.6,.868,0.4,1.3,1.6,3.8,0.7,0.0,1.6,2.1,6-4,180
2021,127,Vanja Marinkovic,VAL,15,14.6,6.3,2.3,5.8,.391,1.4,3.9,.362,0.4,0.5,.857,0.1,1.1,1.3,0.6,0.2,0.0,0.9,1.6,6-6,194
2021,128,Nick Weiler-Babb,BAY,33,23.6,6.3,2.0,5.7,.348,1.0,2.8,.340,1.4,1.7,.807,0.9,2.4,3.2,2.2,1.2,0.2,1.2,2.5,6-5,205
2021,129,Fabien Causeur,RMB,28,14.1,6.3,2.1,4.6,.462,0.9,2.1,.417,1.0,1.6,.659,0.1,1.0,1.1,1.4,0.4,0.0,1.0,1.1,6-3,198
2021,132,Alex Abrines,FCB,39,18.7,6.1,2.0,4.6,.428,1.4,3.3,.423,0.7,0.8,.903,0.6,1.3,1.8,0.7,0.6,0.2,0.3,2.5,6-6,190
2021,134,Ben Bentil,PAN,31,15.9,6.0,2.2,4.5,.479,0.5,1.4,.364,1.2,1.6,.740,0.9,1.7,2.6,0.9,0.5,0.2,1.1,1.6,6-9,235
2021,144,Kostas Papanikolaou,OLY,14,21.7,5.7,1.6,4.5,.365,1.2,3.3,.370,1.2,1.4,.895,0.3,1.9,2.2,1.9,0.6,0.5,1.1,2.1,6-8,225
2021,147,Charles Lombahe-Kahudi,LYV,31,21.2,5.6,1.8,4.5,.410,0.9,2.3,.394,0.9,1.0,.906,0.5,1.9,2.4,0.9,0.8,0.1,0.7,2.1,6-5,183
2021,149,Rudy Fernandez,RMB,28,15.4,5.5,1.8,5.2,.342,1.6,4.5,.346,0.4,0.5,.846,0.1,1.0,1.1,1.2,0.5,0.1,0.6,1.1,6-6,185
2021,151,Rolands Smits,FCB,41,15.9,5.5,2.1,3.7,.573,0.5,1.2,.396,0.8,1.0,.767,1.0,2.2,3.2,0.6,0.4,0.2,1.0,2.2,6-10,235
2021,152,Joel Bolomboy,CSKA,25,16.9,5.4,2.1,3.7,.559,0.2,0.6,.250,1.1,1.4,.771,1.7,2.0,3.8,0.3,0.6,0.5,0.8,1.6,6-9,235
2021,157,Tarik Black,ZEN,13,14.8,5.2,2.0,3.7,.542,0.0,0.2,.000,1.2,1.5,.750,1.3,2.2,3.5,0.4,0.7,0.6,1.3,3.2,6-9,250
2021,169,Giannoulis Larentzakis,OLY,21,12.4,4.5,1.3,3.8,.354,0.9,2.8,.328,0.9,1.2,.760,0.2,1.4,1.6,1.4,0.8,0.0,1.0,2.2,6-5,200
2021,170,Edgaras Ulanovas,FEN,28,19.6,4.5,1.7,3.6,.471,0.6,1.4,.400,0.5,0.6,.722,0.5,1.1,1.6,1.4,0.3,0.0,0.8,1.6,6-6,192
2021,174,Louis Olinde,BER,25,16.0,4.3,1.6,4.1,.392,0.6,1.7,.357,0.5,0.8,.650,1.1,1.6,2.7,0.2,0.5,0.2,0.8,2.2,6-9,195
2021,179,Melih Mahmutoglu,FEN,28,13.7,4.1,1.6,3.8,.415,0.8,2.4,.328,0.2,0.3,.857,0.1,0.6,0.7,0.3,0.2,0.0,0.5,1.0,6-3,187
2021,186,Usman Garuba,RMB,39,16.3,3.9,1.5,3.1,.504,0.3,1.1,.268,0.6,0.9,.595,1.3,2.8,4.0,0.7,0.6,0.7,1.1,1.7,6-8,229
2021,189,John DiBartolomeo,MAC,23,10.4,3.8,1.2,2.8,.415,0.8,2.1,.375,0.7,0.7,.938,0.3,0.7,1.0,1.0,0.6,0.1,0.4,1.3,6-0,175
2021,192,Matthew Strazel,LYV,20,13.1,3.6,1.1,3.1,.355,0.6,1.7,.324,0.9,1.0,.850,0.3,0.8,1.1,1.4,0.2,0.0,1.1,2.0,6-0,178
2021,194,Tadas Sedekerskis,BASK,32,16.3,3.5,1.3,2.6,.494,0.3,0.9,.367,0.6,0.7,.783,0.6,2.3,2.9,1.1,0.6,0.3,0.6,1.2,6-9,205
2021,199,Jonas Mattisseck,BER,31,13.8,3.0,1.0,2.7,.376,0.7,2.1,.359,0.2,0.3,.875,0.2,0.8,1.1,0.9,0.4,0.0,0.5,1.8,6-5,152
2021,200,Alex Tyus,RMB,20,11.9,3.0,1.4,2.7,.500,0.0,0.0,.000,0.3,0.4,.750,1.5,1.1,2.6,0.5,0.4,0.4,0.6,1.4,6-8,220
2021,201,Kevarrius Hayes,LYV,20,10.8,3.0,1.0,2.1,.452,0.0,0.1,.000,1.1,1.7,.636,1.1,1.6,2.6,0.5,0.4,0.9,0.7,1.9,6-9,227
2021,202,Tarik Biberovic,FEN,16,9.4,2.9,1.2,2.5,.475,0.4,1.1,.389,0.1,0.2,.667,0.3,1.2,1.5,0.3,0.2,0.0,0.7,1.0,6-7,218
2021,203,Leandro Bolmaro,FCB,30,9.8,2.9,1.0,2.4,.408,0.3,0.7,.381,0.7,0.9,.786,0.3,0.8,1.1,1.3,0.3,0.1,0.9,1.4,6-6,200
2021,211,Tim Schneider,BER,28,11.2,2.8,1.0,3.3,.319,0.5,1.6,.295,0.2,0.3,.714,0.5,1.0,1.5,0.3,0.1,0.1,0.3,1.1,6-9,222
2021,213,Branko Lazic,ZVE,33,16.3,2.7,0.9,2.5,.369,0.5,1.5,.354,0.3,0.3,.909,0.4,0.9,1.3,0.7,0.6,0.0,0.3,2.3,6-5,192
2021,232,Malte Delow,BER,23,8.3,1.6,0.7,1.7,.385,0.2,0.7,.267,0.1,0.1,.667,0.5,0.4,0.9,0.5,0.4,0.0,0.3,1.6,6-6,170
2021,237,Diego Flaccadori,BAY,22,5.3,1.2,0.5,1.2,.370,0.1,0.4,.375,0.2,0.2,.800,0.1,0.4,0.5,0.7,0.1,0.0,0.2,0.9,6-5,172
2021,243,Sander Raieste,BASK,10,4.5,0.7,0.2,1.0,.200,0.1,0.2,.500,0.0,0.0,.000,0.6,0.3,0.9,0.1,0.1,0.0,0.3,0.7,6-8,210
