Season,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Height,Weight
2020,210,Rolands Smits,FCB,16,9.9,3.1,1.2,2.7,.442,0.6,1.2,.474,0.2,0.3,.750,0.9,0.9,1.8,0.3,0.1,0.1,0.4,1.4,6-10,235
2020,211,Ben Bentil,PAN,23,9.1,3.1,0.8,2.3,.365,0.3,1.0,.318,1.1,1.3,.839,0.9,1.1,2.0,0.4,0.1,0.0,0.2,1.3,6-9,235
2020,219,Jonas Mattisseck,BER,28,13.7,2.7,0.9,2.5,.343,0.6,1.9,.340,0.3,0.4,.818,0.5,0.6,1.0,0.8,0.4,0.0,0.8,1.5,6-5,152
2020,225,Rokas Jokubaitis,ZAL,10,6.4,2.2,0.8,1.8,.444,0.3,0.6,.500,0.3,0.4,.750,0.2,0.3,0.5,1.3,0.3,0.0,1.0,0.9,6-4,182
2020,228,Diego Flaccadori,BAY,22,8.5,1.9,0.7,2.0,.356,0.1,0.6,.143,0.4,0.5,.727,0.1,0.4,0.5,0.6,0.1,0.1,0.8,1.0,6-5,172
2019,1,Mike James,MIL,30,34.0,19.8,6.3,15.6,.404,2.3,7.2,.326,4.9,5.9,.826,0.4,3.4,3.8,6.4,1.3,0.0,2.6,2.6,6-1,190
2019,3,Nando De Colo,CSKA,34,24.2,14.7,4.7,9.4,.500,1.7,4.0,.431,3.6,3.8,.946,0.5,2.0,2.5,3.4,0.9,0.0,2.1,1.8,6-5,195
2019,5,Brandon Davies,ZAL,34,24.2,14.2,5.2,9.3,.559,0.0,0.0,.000,3.9,5.1,.762,1.8,3.6,5.5,2.0,1.0,0.4,1.9,2.9,6-10,240
2019,7,Will Clyburn,CSKA,35,27.0,13.6,4.6,9.8,.474,1.0,2.8,.343,3.3,4.5,.745,1.7,5.1,6.8,1.5,1.0,0.2,1.4,1.9,6-6,210
2019,9,Scottie Wilbekin,MAC,29,24.8,12.9,4.3,10.9,.397,2.2,6.8,.328,1.9,2.4,.800,0.3,1.5,1.8,3.1,0.9,0.0,1.7,1.9,6-2,176
2019,11,Shane Larkin,EFE,35,22.0,12.5,3.9,7.9,.498,1.9,4.2,.449,2.8,3.2,.866,0.3,1.9,2.2,3.1,0.9,0.1,1.8,1.6,5-11,175
2019,14,Nick Calathes,PAN,33,31.0,12.2,4.9,12.6,.393,1.2,4.5,.265,1.2,2.2,.528,0.5,3.8,4.3,8.7,1.7,0.1,3.1,2.6,6-6,213
2019,16,Vincent Poirier,BASK,34,25.6,11.9,5.0,8.1,.617,0.0,0.0,.000,2.0,2.7,.731,3.4,4.9,8.3,1.1,0.8,0.8,1.3,2.6,7-0,235
2019,17,Kostas Sloukas,FEN,33,26.6,11.8,3.9,7.4,.522,1.5,3.2,.449,2.6,2.8,.934,0.2,2.0,2.2,4.8,0.5,0.0,1.9,1.5,6-2,210
2019,19,Nikola Milutinov,OLY,28,26.0,11.7,4.5,6.8,.663,0.0,0.0,1.000,2.6,3.6,.740,3.4,4.5,7.9,1.5,0.6,0.7,1.3,1.5,7-0,220
2019,22,Tarik Black,MAC,26,21.5,11.0,4.5,6.4,.695,0.0,0.0,.000,2.1,3.0,.684,2.2,3.3,5.4,0.7,0.5,0.8,1.4,2.9,6-9,250
2019,26,Sergio Llull,RMB,27,21.4,10.5,3.4,9.5,.358,2.0,6.1,.321,1.7,1.8,.958,0.1,1.9,2.0,4.0,0.4,0.0,1.2,1.9,6-3,190
2019,35,Vladimir Lucic,BAY,29,26.2,10.0,3.6,6.9,.523,0.9,2.6,.351,2.0,2.4,.826,0.8,3.1,3.8,1.2,1.1,0.2,0.7,2.4,6-8,200
2019,37,Shavon Shields,BASK,33,24.5,9.8,3.7,7.4,.502,0.8,2.2,.356,1.6,1.8,.883,1.1,1.7,2.8,1.1,0.6,0.1,1.0,2.0,6-7,225
2019,38,Edwin Jackson,BUD,30,26.4,9.8,3.5,7.9,.439,1.7,4.0,.429,1.1,1.3,.850,0.7,1.8,2.5,1.9,0.7,0.1,1.5,2.1,6-2,201
2019,40,Zach LeDay,OLY,30,17.1,9.7,3.3,6.2,.538,0.3,0.9,.357,2.7,3.5,.781,1.7,2.4,4.0,0.3,0.3,0.4,0.9,1.8,6-7,230
2019,41,Nikola Kalinic,FEN,35,25.5,9.6,3.4,7.1,.484,1.0,2.5,.398,1.8,2.3,.785,0.9,2.4,3.3,1.8,0.7,0.2,1.1,2.2,6-8,222
2019,42,Rodrigue Beaubois,EFE,35,20.5,9.5,3.5,7.9,.442,1.6,4.0,.400,0.9,1.0,.912,0.2,1.1,1.3,2.3,0.3,0.3,1.1,1.6,6-1,183
2019,46,Marko Guduric,FEN,36,22.1,9.4,3.1,5.7,.549,1.4,3.0,.477,1.6,1.9,.843,0.4,1.6,1.9,2.2,0.9,0.2,1.3,2.1,6-6,201
2019,48,Nigel Williams-Goss,OLY,30,26.3,9.2,3.4,8.4,.405,1.0,2.7,.370,1.4,1.7,.827,0.3,1.7,2.0,4.2,0.7,0.0,1.4,2.2,6-3,190
2019,51,Luca Vildoza,BASK,34,22.5,9.1,3.0,7.4,.403,1.6,4.3,.372,1.5,1.7,.879,0.4,1.9,2.3,3.8,1.1,0.1,1.7,2.3,6-3,190
2019,53,Ioannis Papapetrou,PAN,28,25.5,9.0,3.4,6.8,.503,0.9,2.7,.333,1.3,2.0,.673,1.0,3.2,4.2,1.1,0.8,0.5,0.9,2.1,6-8,225
2019,54,Rudy Fernandez,RMB,31,20.5,9.0,2.7,6.7,.409,2.1,5.1,.414,1.4,1.7,.815,0.6,2.1,2.8,2.7,0.8,0.2,0.8,1.5,6-6,185
2019,58,Bryant Dunston,EFE,36,26.1,8.9,3.4,5.3,.640,0.1,0.2,.333,2.1,3.0,.701,1.5,3.4,4.9,1.3,0.8,1.2,0.8,3.0,6-8,233
2019,61,Marius Grigonis,ZAL,34,20.8,8.7,2.6,5.6,.466,1.0,2.3,.442,2.5,2.7,.935,0.2,1.9,2.1,1.9,0.6,0.0,1.4,2.6,6-6,195
2019,62,Facundo Campazzo,RMB,34,23.6,8.7,2.6,6.8,.385,1.3,3.4,.374,2.2,2.5,.893,0.3,2.4,2.6,5.2,1.6,0.0,2.1,2.5,5-11,165
2019,66,Joffrey Lauvergne,FEN,22,18.0,8.5,3.7,6.6,.559,0.3,0.9,.300,0.9,1.7,.514,1.1,2.5,3.6,1.8,0.4,0.3,0.9,1.5,6-11,260
2019,79,Johannes Voigtmann,BASK,33,24.3,7.5,2.8,6.1,.458,0.9,2.9,.309,1.0,1.4,.756,1.2,4.7,5.8,2.5,0.6,0.4,1.4,1.3,6-11,228
2019,80,Edy Tavares,RMB,34,19.4,7.4,3.1,3.9,.794,0.0,0.0,.000,1.3,2.0,.632,2.2,4.1,6.2,0.7,0.4,1.7,1.2,2.3,7-3,265
2019,82,Nicolo Melli,FEN,36,25.9,7.3,2.6,5.9,.435,1.0,2.7,.385,1.1,1.4,.816,1.1,2.9,4.1,1.6,0.9,0.6,1.0,2.9,6-9,235
2019,84,Alex Tyus,MAC,30,18.3,7.3,3.2,4.9,.664,0.0,0.0,.000,0.8,1.3,.625,1.3,2.8,4.1,0.3,0.5,1.1,0.7,1.8,6-8,220
2019,86,Edgaras Ulanovas,ZAL,34,25.0,7.2,2.3,5.3,.439,0.7,1.9,.354,1.9,2.2,.840,1.1,2.2,3.4,1.4,0.6,0.2,1.2,1.9,6-6,192
2019,91,Kostas Papanikolaou,OLY,30,23.4,6.9,2.3,5.3,.431,1.3,3.5,.371,1.0,1.4,.738,0.6,3.3,3.9,1.6,0.8,0.3,1.5,1.7,6-8,225
2019,97,Maodo Lo,BAY,29,18.3,6.7,2.4,5.3,.445,0.8,2.2,.344,1.1,1.4,.786,0.2,1.2,1.5,1.9,1.0,0.1,1.3,1.9,6-3,194
2019,108,Daniel Hackett,CSKA,35,17.3,6.0,1.8,4.1,.434,0.6,1.5,.392,1.9,2.3,.825,0.3,1.5,1.8,1.7,0.6,0.0,1.0,3.0,6-5,215
2019,111,Melih Mahmutoglu,FEN,31,12.1,5.6,1.9,3.8,.508,1.1,2.5,.461,0.6,0.6,.950,0.1,0.7,0.8,0.5,0.2,0.0,0.2,1.5,6-3,187
2019,115,Alec Peters,CSKA,36,16.3,5.3,1.8,4.2,.420,1.1,2.5,.433,0.7,0.8,.893,0.7,2.0,2.7,0.7,0.5,0.1,0.6,2.4,6-9,225
2019,117,Thomas Walkup,ZAL,34,16.8,5.2,2.0,4.2,.486,0.4,1.3,.295,0.7,0.9,.806,0.5,2.1,2.6,2.2,0.5,0.0,1.2,2.6,6-4,195
2019,121,John DiBartolomeo,MAC,29,10.3,4.7,1.5,4.2,.361,1.1,3.2,.344,0.6,0.7,.810,0.6,0.8,1.4,1.1,0.4,0.0,0.2,1.5,6-0,175
2019,124,Gabriel Deck,RMB,31,14.7,4.4,1.6,2.7,.595,0.2,0.6,.333,1.0,1.4,.698,0.8,1.5,2.4,0.7,0.2,0.0,0.7,1.0,6-8,232
2018,2,Nemanja Nedovic,UNI,24,25.1,16.8,5.6,13.0,.429,2.3,6.3,.358,3.4,4.0,.845,0.4,1.5,2.0,4.8,0.6,0.1,2.2,1.6,6-3,192
2018,3,Nando De Colo,CSKA,32,25.8,16.7,5.7,10.4,.542,1.8,3.7,.492,3.5,3.7,.950,0.3,1.9,2.3,3.7,1.3,0.1,2.3,2.0,6-5,195
2018,5,Errick McCollum,EFE,29,26.5,14.6,5.0,11.7,.429,1.8,4.5,.400,2.7,3.5,.775,0.5,1.9,2.4,2.3,0.8,0.4,2.0,2.1,6-2,170
2018,6,Nick Calathes,PAN,31,29.0,14.5,5.8,12.2,.476,1.1,3.7,.293,1.8,3.2,.576,0.6,3.2,3.8,8.0,1.7,0.1,2.3,2.5,6-6,213
2018,11,Tornike Shengelia,BASK,33,25.5,13.7,5.1,9.0,.569,0.5,1.4,.326,3.0,4.4,.681,1.6,4.5,6.1,2.2,0.8,0.5,1.5,2.0,6-9,220
2018,15,Jan Vesely,FEN,34,26.6,12.5,4.7,7.7,.609,0.0,0.0,.000,3.1,4.4,.707,2.5,2.6,5.1,1.6,0.9,0.7,1.5,3.4,6-11,240
2018,16,Rodrigue Beaubois,BASK,33,21.3,12.4,4.8,9.5,.498,1.6,4.1,.400,1.3,1.4,.894,0.5,2.0,2.4,1.8,0.7,0.4,1.2,2.6,6-1,183
2018,25,Will Clyburn,CSKA,36,26.6,11.6,4.0,9.1,.435,0.9,2.3,.386,2.8,4.0,.692,1.5,4.4,5.9,1.8,0.9,0.3,1.6,2.0,6-6,210
2018,34,Bryant Dunston,EFE,30,28.2,10.2,3.9,6.1,.645,0.1,0.2,.333,2.3,3.3,.697,2.1,3.4,5.4,1.3,0.7,1.7,1.0,2.5,6-8,233
2018,37,Tibor Pleiss,VAL,29,19.3,10.1,4.1,7.2,.565,0.2,0.3,.500,1.8,2.2,.797,1.6,3.7,5.2,0.6,0.4,1.1,1.2,2.4,7-3,256
2018,38,Kostas Sloukas,FEN,35,24.8,10.0,3.3,7.7,.428,1.2,3.2,.381,2.2,2.4,.916,0.5,2.0,2.5,5.4,0.6,0.1,2.0,1.6,6-2,210
2018,42,Daniel Hackett,BRO,26,24.0,9.6,3.1,6.3,.497,0.9,2.5,.369,2.4,3.0,.808,0.2,2.5,2.7,3.4,0.4,0.0,1.4,2.3,6-5,215
2018,46,Brandon Davies,ZAL,36,17.4,9.3,3.3,5.8,.577,0.0,0.0,.000,2.6,3.1,.848,1.5,2.1,3.5,0.9,0.9,0.4,1.3,3.1,6-10,240
2018,55,Nicolo Melli,FEN,36,26.5,8.9,3.1,6.1,.502,0.9,2.2,.430,1.8,2.3,.805,1.5,3.4,5.0,1.7,0.9,0.3,1.1,2.5,6-9,235
2018,57,Nikola Milutinov,OLY,29,21.7,8.8,3.3,5.1,.653,0.0,0.0,.000,2.1,2.8,.756,2.3,3.4,5.7,1.0,0.6,0.6,1.1,2.0,7-0,220
2018,58,Johannes Voigtmann,BASK,34,21.3,8.7,3.4,5.4,.622,0.9,1.5,.577,1.1,1.6,.667,1.1,3.3,4.4,1.6,0.4,0.3,1.1,1.7,6-11,228
2018,62,Mathias Lessort,ZVE,30,21.1,8.5,3.3,6.1,.549,0.0,0.0,.000,1.8,2.9,.632,2.9,2.8,5.7,0.8,0.8,0.7,1.7,2.8,6-9,250
2018,65,Alex Tyus,MAC,30,20.0,8.4,3.7,6.0,.619,0.0,0.0,.000,0.9,1.9,.491,2.2,2.8,5.0,0.2,0.5,1.0,0.6,1.6,6-8,220
2018,68,Kostas Papanikolaou,OLY,28,24.1,8.3,2.5,5.3,.469,0.9,2.4,.373,2.5,3.2,.775,1.0,3.3,4.3,2.1,1.0,0.4,1.5,2.1,6-8,225
2018,72,Vincent Poirier,BASK,34,17.8,8.2,3.2,5.6,.573,0.0,0.0,.000,1.7,2.4,.725,1.9,3.3,5.2,1.0,0.6,0.9,1.0,2.6,7-0,235
2018,75,Facundo Campazzo,RMB,30,23.1,7.9,2.7,6.7,.396,1.4,3.6,.376,1.2,1.4,.833,0.2,2.2,2.4,4.5,1.4,0.1,2.0,2.6,5-11,165
2018,79,Alberto Abalde,VAL,25,19.1,7.6,2.8,5.7,.497,1.1,2.2,.519,0.8,0.9,.870,0.5,1.6,2.1,1.7,0.3,0.0,1.3,1.8,6-7,215
2018,81,Edgaras Ulanovas,ZAL,35,27.1,7.5,2.6,5.2,.503,0.6,1.3,.457,1.7,2.1,.787,1.3,2.8,4.1,2.1,0.5,0.4,1.1,2.1,6-6,192
2018,84,Rudy Fernandez,RMB,31,19.4,7.4,2.1,5.6,.382,1.5,4.0,.371,1.6,1.9,.879,0.7,1.8,2.5,2.6,0.7,0.2,0.8,1.5,6-6,185
2018,94,Maodo Lo,BRO,30,16.7,6.9,2.7,6.0,.444,1.2,2.9,.414,0.4,0.5,.786,0.1,1.2,1.4,1.8,0.3,0.1,1.1,2.4,6-3,194
2018,96,Fabien Causeur,RMB,36,18.1,6.9,2.5,4.7,.529,0.8,1.9,.441,1.0,1.4,.712,0.4,1.2,1.6,1.9,0.4,0.1,1.0,1.4,6-3,198
2018,97,Ioannis Papapetrou,OLY,31,22.0,6.8,2.7,6.5,.413,0.8,2.7,.286,0.7,1.1,.667,0.9,2.7,3.6,0.7,0.4,0.3,0.7,2.0,6-8,225
2018,100,Marko Guduric,FEN,36,16.6,6.7,2.4,4.5,.547,1.0,2.3,.446,0.8,0.9,.875,0.4,1.1,1.6,1.9,0.7,0.0,1.1,2.0,6-6,201
2018,103,Dejan Davidovac,ZVE,24,15.6,6.5,2.1,3.8,.543,0.9,2.0,.468,1.4,1.8,.773,0.6,1.4,2.0,1.2,0.7,0.3,0.8,2.0,6-8,210
2018,104,Edy Tavares,RMB,29,17.4,6.5,2.6,3.8,.682,0.0,0.0,.000,1.3,2.1,.623,2.2,3.1,5.3,0.5,0.4,1.5,0.8,2.6,7-3,265
2018,105,Ognjen Dobric,ZVE,26,15.2,6.5,2.3,5.2,.452,1.0,3.0,.351,0.7,0.9,.826,1.0,1.2,2.3,0.4,0.6,0.2,0.4,1.3,6-6,198
2018,125,Lukas Lekavicius,PAN,31,12.7,3.9,1.4,2.9,.473,0.5,1.1,.486,0.5,0.6,.895,0.3,0.7,1.0,1.5,0.2,0.0,0.9,1.3,6-0,167
2018,127,Branko Lazic,ZVE,30,20.4,3.3,1.1,3.5,.324,0.5,1.9,.259,0.6,0.6,.944,0.8,1.2,2.0,0.9,0.8,0.1,0.4,3.0,6-5,192
2018,128,John DiBartolomeo,MAC,28,12.8,3.3,1.0,3.2,.326,0.5,1.8,.286,0.8,0.9,.808,0.4,1.2,1.6,1.4,0.5,0.0,0.4,1.8,6-0,175
2018,129,Melih Mahmutoglu,FEN,21,6.7,1.7,0.6,1.9,.325,0.3,1.0,.286,0.1,0.1,1.000,0.0,0.4,0.5,0.2,0.1,0.0,0.1,0.6,6-3,187
2017,2,Nando De Colo,CSKA,28,27.1,19.1,6.3,12.2,.516,1.5,3.6,.426,5.0,5.2,.959,0.1,2.8,2.9,3.9,1.0,0.1,3.3,2.2,6-5,195
2017,4,Sergio Llull,RMB,33,27.8,16.5,5.4,12.9,.416,2.2,6.7,.330,3.5,4.2,.847,0.3,1.5,1.8,5.9,0.7,0.1,2.3,1.9,6-3,190
2017,5,Shane Larkin,BASK,33,28.9,13.1,4.2,10.5,.406,1.5,4.3,.343,3.1,3.9,.797,0.5,2.2,2.7,5.7,1.3,0.2,2.8,2.4,5-11,175
2017,6,Will Clyburn,DBI,34,28.2,13.0,4.9,11.4,.429,0.7,2.4,.289,2.5,3.6,.685,1.5,3.6,5.1,1.3,0.9,0.3,1.4,1.9,6-6,210
2017,18,Rodrigue Beaubois,BASK,30,20.3,11.7,4.3,9.4,.457,1.8,4.7,.380,1.3,1.5,.870,0.2,1.3,1.4,1.7,0.4,0.5,1.6,2.2,6-1,183
2017,20,Scottie Wilbekin,DBI,31,25.2,11.6,3.7,8.7,.430,2.2,5.5,.404,1.9,2.2,.870,0.6,1.1,1.8,3.2,1.4,0.0,1.8,2.3,6-2,176
2017,21,Nicolo Melli,BRO,30,29.2,11.5,4.3,8.5,.502,1.2,2.8,.434,1.8,2.4,.740,1.3,6.1,7.4,2.3,0.7,0.7,1.7,2.6,6-9,235
2017,28,Bryant Dunston,EFE,35,29.0,10.7,4.0,7.3,.551,0.0,0.0,.000,2.7,3.9,.679,2.9,3.3,6.2,1.1,0.6,1.1,0.9,2.7,6-8,233
2017,35,Johannes Voigtmann,BASK,33,23.4,10.1,3.8,7.1,.541,0.7,2.2,.315,1.7,2.4,.731,2.3,4.7,7.0,1.7,0.6,0.3,1.0,1.8,6-11,228
2017,36,Alex Tyus,GAL,30,19.7,10.0,4.3,6.3,.683,0.0,0.0,.000,1.4,2.5,.553,1.7,3.5,5.2,0.4,0.6,1.5,1.1,1.3,6-8,220
2017,38,Fabien Causeur,BRO,29,25.3,9.9,3.7,7.4,.502,1.1,3.3,.347,1.3,1.7,.776,0.5,2.7,3.2,2.2,0.8,0.1,1.4,2.1,6-3,198
2017,40,Nick Calathes,PAN,33,27.2,9.8,4.0,9.9,.405,0.8,3.5,.246,0.9,1.8,.500,0.9,3.1,4.0,5.5,1.5,0.2,2.1,2.2,6-6,213
2017,42,Jan Vesely,FEN,34,24.5,9.6,3.8,6.8,.563,0.0,0.1,.000,2.0,3.6,.557,1.6,2.9,4.5,1.4,1.0,0.6,1.4,2.8,6-11,240
2017,43,Daniel Theis,BRO,30,19.7,9.6,3.9,6.5,.598,0.5,1.3,.410,1.3,1.8,.709,1.7,2.9,4.6,0.7,0.7,0.9,1.1,3.0,6-8,245
2017,48,Kostas Sloukas,FEN,29,26.1,9.2,3.1,6.9,.445,1.0,2.4,.429,2.1,2.4,.870,0.3,1.8,2.1,4.5,0.6,0.2,2.5,2.3,6-2,210
2017,57,Lukas Lekavicius,ZAL,30,18.1,8.5,3.2,7.1,.448,0.8,2.5,.338,1.4,1.8,.759,0.4,1.6,1.9,3.5,0.6,0.0,1.7,2.2,6-0,167
2017,61,Kostas Papanikolaou,OLY,37,23.3,8.1,2.8,6.6,.422,1.0,3.2,.316,1.5,1.9,.826,1.5,3.3,4.8,1.5,1.2,0.4,1.2,2.4,6-8,225
2017,66,Marko Guduric,ZVE,29,18.8,7.8,2.3,6.0,.391,1.0,3.2,.304,2.1,2.4,.859,0.6,1.6,2.1,2.1,0.6,0.1,1.9,2.6,6-6,201
2017,67,Edgaras Ulanovas,ZAL,30,24.4,7.7,2.5,5.3,.478,0.5,1.4,.381,2.1,2.4,.877,1.3,2.0,3.3,1.5,0.3,0.3,1.3,2.1,6-6,192
2017,69,Tibor Pleiss,GAL,28,17.1,7.7,3.1,5.5,.561,0.1,0.2,.400,1.4,1.8,.765,1.7,3.0,4.6,0.5,0.2,1.2,0.8,1.8,7-3,256
2017,72,Nikola Kalinic,FEN,33,24.0,7.5,2.8,5.9,.482,0.8,2.2,.347,1.1,1.3,.837,0.6,2.5,3.1,1.5,0.8,0.3,1.4,2.2,6-8,222
2017,73,Sasha Vezenkov,FCB,30,18.4,7.5,2.7,4.7,.577,1.1,2.4,.479,0.9,1.1,.848,0.8,2.4,3.2,1.1,0.7,0.2,0.6,1.5,6-8,225
2017,78,Khem Birch,OLY,37,18.1,7.3,2.8,4.5,.624,0.0,0.0,.000,1.7,2.6,.643,2.2,3.4,5.6,0.3,0.5,1.0,1.0,2.0,6-8,233
2017,81,Cedi Osman,EFE,35,18.6,7.1,2.5,6.1,.409,1.0,3.0,.340,1.1,1.3,.787,0.8,1.9,2.8,0.7,0.6,0.1,0.5,1.8,6-7,230
2017,88,Rudy Fernandez,RMB,32,23.4,6.5,2.3,6.6,.343,1.3,4.2,.323,0.7,0.9,.750,0.8,2.1,2.8,3.2,1.2,0.1,1.2,1.8,6-6,185
2017,109,Ioannis Papapetrou,OLY,36,15.9,4.4,1.7,4.3,.396,0.7,2.2,.333,0.3,0.4,.688,0.4,2.1,2.6,0.5,0.5,0.3,0.6,1.6,6-8,225
2017,110,Branko Lazic,ZVE,30,23.6,4.4,1.6,3.5,.467,0.7,1.9,.368,0.4,0.7,.571,0.7,1.5,2.2,0.3,1.4,0.1,0.5,3.1,6-5,192
2017,111,Luka Mitrovic,ZVE,28,15.7,4.1,1.8,3.9,.450,0.1,0.6,.167,0.5,1.0,.536,0.8,1.5,2.3,1.4,0.5,0.1,1.3,1.1,6-8,200
2016,1,Nando De Colo,CSKA,27,27.7,19.4,6.3,12.0,.526,1.7,3.7,.460,5.1,5.7,.908,0.3,3.3,3.6,5.0,1.1,0.1,2.8,2.0,6-5,195
2016,3,Milos Teodosic,CSKA,29,26.8,16.1,4.8,10.2,.468,2.7,6.2,.428,3.9,4.4,.884,0.3,2.4,2.7,5.7,0.9,0.0,3.0,2.2,6-5,196
2016,12,Sergio Llull,RMB,24,27.8,12.8,3.9,10.3,.378,2.3,6.5,.350,2.8,3.5,.807,0.3,1.5,1.8,4.6,0.7,0.2,1.4,2.6,6-3,190
2016,24,Jan Vesely,FEN,23,27.4,12.0,5.0,8.0,.625,0.1,0.1,.667,1.9,4.1,.453,2.5,4.3,6.8,1.6,0.8,1.0,1.7,3.2,6-11,240
2016,27,Rodrigue Beaubois,STR,10,23.7,11.6,4.4,10.8,.407,1.7,4.6,.370,1.1,1.1,1.000,0.3,1.3,1.6,2.3,1.1,0.4,1.7,2.5,6-1,183
2016,43,Scottie Wilbekin,DBI,20,21.3,10.3,3.5,9.2,.377,1.8,5.2,.350,1.6,2.1,.756,0.2,1.3,1.5,2.3,1.0,0.1,1.6,2.2,6-2,176
2016,49,Mike James,BASK,29,21.2,10.0,3.7,8.8,.424,1.2,3.3,.368,1.3,1.5,.864,0.5,2.1,2.6,2.7,0.6,0.1,1.1,1.3,6-1,190
2016,63,Alex Abrines,FCB,25,19.2,9.3,3.0,6.5,.469,1.6,3.8,.417,1.6,1.9,.833,0.6,1.6,2.2,0.8,0.6,0.1,0.5,1.6,6-6,190
2016,66,Nicolo Melli,BRO,23,29.0,9.2,3.1,6.7,.468,1.0,2.3,.453,1.9,2.3,.815,1.2,5.3,6.5,2.7,0.9,0.7,1.5,2.8,6-9,235
2016,69,Daniel Theis,BRO,24,19.6,9.2,3.4,6.4,.536,0.6,1.5,.389,1.8,2.3,.764,1.3,3.0,4.4,0.5,0.5,0.6,1.0,3.3,6-8,245
2016,71,Tomas Satoransky,FCB,29,24.5,9.0,3.4,6.8,.495,0.9,2.4,.366,1.4,1.8,.755,0.4,2.4,2.8,4.2,0.9,0.3,1.6,1.9,6-7,210
2016,72,Nick Calathes,PAN,27,30.2,9.0,3.6,8.5,.417,1.0,2.9,.329,0.9,1.6,.568,0.7,3.4,4.1,6.4,2.0,0.2,2.3,3.0,6-6,213
2016,74,Edwin Jackson,UNI,24,20.1,8.9,2.9,7.3,.392,1.7,5.1,.328,1.5,1.8,.857,0.3,1.1,1.4,2.5,0.2,0.0,1.6,0.7,6-2,201
2016,90,Daniel Hackett,OLY,24,19.9,8.1,2.5,5.6,.444,0.9,2.3,.393,2.2,2.7,.813,0.1,2.2,2.3,2.3,0.8,0.1,1.5,2.7,6-5,215
2016,96,Cedi Osman,EFE,23,20.0,7.9,2.7,6.2,.441,1.2,3.1,.380,1.3,1.7,.763,1.0,2.0,3.1,0.7,0.9,0.1,0.8,1.5,6-7,230
2016,98,Bryant Dunston,EFE,24,21.0,7.9,2.8,4.6,.604,0.0,0.0,.000,2.3,3.5,.655,2.1,2.9,5.0,1.2,0.5,1.1,1.2,2.7,6-8,233
2016,106,Nemanja Nedovic,UNI,23,15.1,7.4,2.7,6.8,.391,1.0,3.7,.279,1.0,1.4,.750,0.1,0.7,0.8,1.9,0.3,0.1,1.3,1.7,6-3,192
2016,110,Marko Guduric,ZVE,24,15.6,7.1,2.1,5.0,.420,1.0,2.6,.371,2.0,2.4,.810,0.2,1.3,1.5,1.4,0.6,0.0,1.6,2.2,6-6,201
2016,122,Edgaras Ulanovas,ZAL,24,26.3,6.3,2.0,5.4,.372,0.5,1.6,.342,1.8,2.0,.875,1.5,3.0,4.5,2.0,0.7,0.2,1.1,2.0,6-6,192
2016,130,Ioannis Papapetrou,OLY,24,19.0,5.7,2.1,4.9,.432,0.7,1.7,.400,0.8,1.1,.692,0.8,1.9,2.7,0.7,0.7,0.3,1.0,2.0,6-8,225
2016,148,Nikola Kalinic,FEN,29,18.9,4.6,1.7,3.9,.434,0.3,1.1,.242,0.9,1.3,.711,1.1,2.2,3.3,1.2,0.4,0.2,0.9,2.4,6-8,222
2016,150,Lukas Lekavicius,ZAL,21,14.4,4.6,1.6,3.8,.418,0.8,1.5,.516,0.7,0.9,.737,0.1,1.0,1.1,1.3,0.9,0.0,1.3,2.2,6-0,167
2016,156,Branko Lazic,ZVE,26,19.5,4.3,1.4,3.3,.430,0.6,1.5,.410,0.8,0.9,.875,0.5,0.8,1.3,1.0,0.9,0.0,1.1,3.0,6-5,192
2015,4,Boban Marjanovic,ZVE,24,27.3,16.6,6.2,10.0,.623,0.0,0.0,.000,4.2,5.3,.781,3.5,7.2,10.7,1.0,0.4,0.8,1.4,1.5,7-4,290
2015,9,Milos Teodosic,CSKA,24,28.2,14.8,4.7,10.9,.431,2.9,7.2,.405,2.4,2.8,.866,0.3,2.6,2.8,7.0,0.8,0.0,3.7,2.8,6-5,196
2015,13,Nando De Colo,CSKA,28,24.4,14.4,4.8,9.7,.493,1.1,2.4,.471,3.7,4.0,.920,0.5,2.7,3.2,3.1,1.3,0.0,1.8,2.2,6-5,195
2015,27,Rudy Fernandez,RMB,25,27.4,12.7,4.0,9.7,.416,2.0,5.5,.355,2.6,3.0,.892,0.8,2.6,3.4,3.3,1.5,0.1,1.3,1.6,6-6,185
2015,39,Jan Vesely,FEN,29,22.0,11.2,4.7,7.4,.633,0.0,0.0,.000,1.8,3.7,.491,2.3,3.1,5.4,0.8,0.8,1.0,1.0,3.2,6-11,240
2015,49,Sergio Llull,RMB,30,27.5,10.4,3.6,8.2,.437,1.8,4.7,.379,1.5,1.9,.821,0.2,1.5,1.7,5.8,0.8,0.1,0.8,1.8,6-3,190
2015,74,Tornike Shengelia,BASK,24,21.5,9.5,3.0,7.6,.399,0.3,1.5,.229,3.0,3.7,.820,1.7,3.1,4.8,0.8,0.6,0.6,1.3,2.1,6-9,220
2015,75,Fabien Causeur,BASK,23,23.9,9.3,3.4,6.8,.506,0.9,2.5,.345,1.5,2.2,.700,0.6,2.1,2.7,2.3,1.3,0.3,1.1,2.1,6-3,198
