,player,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Height,Weight
17,Andre Barrett,6.25,0.5,1.25,0.4,0.25,0.75,0.333,0.25,0.5,0.5,0.0,0.25,0.25,1.75,0.0,0.0,0.25,0.25,1.5,68.75,171.0
18,Andre Drummond,18.775,2.925,5.85,0.5,0.075,0.5,0.15,1.4,2.25,0.622,2.725,5.025,7.75,0.85,0.975,0.45,1.375,2.35,7.325,81.75,278.6
19,Andre Iguodala,14.125,0.875,1.875,0.467,0.125,1.125,0.111,0.25,0.375,0.667,0.375,1.75,2.125,2.375,0.5,0.375,1.125,1.375,2.125,77.75,217.0
20,Andrew Nicholson,9.0,1.131578947368421,2.9210526315789473,0.387,0.13157894736842105,0.7105263157894737,0.185,0.23684210526315788,0.3684210526315789,0.643,0.39473684210526316,1.2105263157894737,1.605263157894737,0.2631578947368421,0.42105263157894735,0.15789473684210525,0.4473684210526316,1.4473684210526316,2.6315789473684212,80.5,234.0
21,Andy Rautins,4.8,0.6,1.4,0.429,0.2,0.8,0.25,0.2,0.4,0.5,0.0,0.2,0.2,0.6,0.2,0.0,1.4,0.0,1.6,76.25,191.6
22,Anthony Davis,33.723404255319146,9.212765957446809,17.80851063829787,0.517,0.6595744680851063,2.297872340425532,0.287,5.680851063829787,7.340425531914893,0.774,2.6595744680851063,8.872340425531915,11.53191489361702,3.4680851063829787,1.2127659574468086,2.0638297872340425,2.0638297872340425,1.9148936170212767,24.76595744680851,81.25,221.8
23,Anthony Grundy,9.0,1.5833333333333333,3.1666666666666665,0.5,0.4166666666666667,1.25,0.333,0.75,1.1666666666666667,0.643,0.08333333333333333,1.3333333333333333,1.4166666666666667,0.75,0.5833333333333334,0.0,0.75,1.1666666666666667,4.333333333333333,72.75,167.0
24,Anthony Randolph,12.255813953488373,1.5813953488372092,4.093023255813954,0.386,0.4186046511627907,1.4186046511627908,0.295,1.2093023255813953,1.6046511627906976,0.754,0.46511627906976744,2.372093023255814,2.8372093023255816,0.7441860465116279,0.6046511627906976,0.4418604651162791,0.9069767441860465,1.4883720930232558,4.790697674418604,81.0,197.0
25,Anthony Tolliver,9.0,0.36363636363636365,1.5454545454545454,0.235,0.36363636363636365,1.2727272727272727,0.286,0.45454545454545453,0.5454545454545454,0.833,0.2727272727272727,0.6363636363636364,0.9090909090909091,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.6363636363636364,1.5454545454545454,79.0,242.0
26,Antonio Burks,10.0,0.8947368421052632,2.526315789473684,0.354,0.017543859649122806,0.10526315789473684,0.167,0.17543859649122806,0.40350877192982454,0.435,0.07017543859649122,0.5789473684210527,0.6491228070175439,1.3333333333333333,0.3508771929824561,0.0,0.631578947368421,0.7894736842105263,1.9824561403508771,72.0,191.0
27,Antonis Fotsis,11.428571428571429,1.5,3.7142857142857144,0.404,0.25,0.8214285714285714,0.304,0.6071428571428571,0.7142857142857143,0.85,0.8928571428571429,1.3214285714285714,2.2142857142857144,0.35714285714285715,0.32142857142857145,0.39285714285714285,0.75,0.7857142857142857,3.857142857142857,81.25,219.0
28,Armon Johnson,13.777777777777779,2.2222222222222223,4.777777777777778,0.465,0.1111111111111111,0.3333333333333333,0.333,0.6666666666666666,0.6666666666666666,1.0,0.1111111111111111,1.3333333333333333,1.4444444444444444,1.2222222222222223,0.5555555555555556,0.0,0.6666666666666666,1.0,5.222222222222222,74.0,195.2
29,Ashton Hagans,16.63157894736842,1.5263157894736843,3.736842105263158,0.408,0.42105263157894735,1.3157894736842106,0.32,0.7368421052631579,0.8947368421052632,0.824,0.7368421052631579,1.631578947368421,2.3684210526315788,2.8421052631578947,0.5789473684210527,0.47368421052631576,1.5789473684210527,2.1052631578947367,4.2105263157894735,73.5,193.0
30,Austin Daye,10.117647058823529,1.4705882352941178,4.147058823529412,0.355,0.7058823529411765,2.088235294117647,0.338,0.14705882352941177,0.17647058823529413,0.833,0.29411764705882354,1.911764705882353,2.2058823529411766,0.5,0.35294117647058826,0.14705882352941177,0.6764705882352942,1.1470588235294117,3.7941176470588234,81.75,191.8
31,Austin Rivers,19.53846153846154,1.75,4.019230769230769,0.435,0.8269230769230769,2.3653846153846154,0.35,0.5769230769230769,0.75,0.769,0.09615384615384616,1.5,1.5961538461538463,1.4423076923076923,0.5384615384615384,0.07692307692307693,0.4423076923076923,1.5384615384615385,4.903846153846154,75.5,202.8
32,Avery Bradley,22.677419354838708,2.3870967741935485,5.645161290322581,0.423,1.3225806451612903,3.3870967741935485,0.39,0.25806451612903225,0.2903225806451613,0.889,0.5,1.6935483870967742,2.193548387096774,0.7580645161290323,0.8548387096774194,0.14516129032258066,0.6129032258064516,1.903225806451613,6.354838709677419,74.0,180.4
33,Ben McLemore,20.078125,3.375,8.421875,0.401,2.359375,6.515625,0.362,1.125,1.375,0.818,0.1875,1.421875,1.609375,0.921875,0.59375,0.15625,0.859375,1.609375,10.234375,75.5,189.2
34,Beno Udrih,14.35897435897436,2.358974358974359,5.051282051282051,0.467,0.28205128205128205,0.8205128205128205,0.344,0.8205128205128205,0.8717948717948718,0.941,0.15384615384615385,1.3076923076923077,1.4615384615384615,3.358974358974359,0.3333333333333333,0.0,0.9230769230769231,0.7435897435897436,5.82051282051282,74.5,199.0
35,Bernard King,13.4375,2.84375,5.53125,0.514,0.0625,0.21875,0.286,1.21875,1.78125,0.684,1.09375,1.28125,2.375,0.5625,0.34375,0.09375,0.65625,1.65625,6.96875,75.75,200.0
36,Bernard Robinson,8.96774193548387,0.6129032258064516,2.0,0.306,0.0,0.06451612903225806,0.0,0.7419354838709677,0.8709677419354839,0.852,0.3225806451612903,1.2258064516129032,1.5483870967741935,0.6129032258064516,0.5483870967741935,0.06451612903225806,0.5161290322580645,1.032258064516129,1.967741935483871,77.25,208.0
37,Blake Griffin,13.878048780487806,1.5365853658536586,3.1707317073170733,0.485,0.5609756097560976,1.6097560975609757,0.348,0.5121951219512195,0.7804878048780488,0.656,1.146341463414634,2.6341463414634148,3.7804878048780486,1.4878048780487805,0.34146341463414637,0.21951219512195122,0.5365853658536586,1.829268292682927,4.146341463414634,80.5,248.4
38,Bobby Brown,5.75,0.95,2.9,0.328,0.55,2.0,0.275,0.05,0.1,0.5,0.0,0.35,0.35,0.55,0.2,0.0,0.45,0.3,2.5,71.0,170.0
39,Bobby Portis,25.217391304347824,5.608695652173913,12.108695652173912,0.463,1.3043478260869565,3.5869565217391304,0.364,1.1956521739130435,1.4565217391304348,0.821,1.8043478260869565,6.521739130434782,8.326086956521738,2.217391304347826,0.6739130434782609,0.5434782608695652,1.2173913043478262,1.891304347826087,13.717391304347826,81.5,246.2
40,Bobby Simmons,14.928571428571429,1.0,3.2142857142857144,0.311,0.7142857142857143,2.142857142857143,0.333,0.14285714285714285,0.25,0.571,0.6071428571428571,1.3571428571428572,1.9642857142857142,0.39285714285714285,0.5357142857142857,0.10714285714285714,0.35714285714285715,1.4642857142857142,2.857142857142857,78.25,235.0
41,Bol Bol,13.0,2.823529411764706,5.382352941176471,0.525,0.9411764705882353,2.735294117647059,0.344,0.5882352941176471,0.7647058823529411,0.769,0.5588235294117647,2.4705882352941178,3.0294117647058822,0.6176470588235294,0.2647058823529412,0.7352941176470589,0.5882352941176471,0.5882352941176471,7.176470588235294,84.75,208.0
42,Bracey Wright,10.0,1.263157894736842,3.1578947368421053,0.4,0.3157894736842105,1.0526315789473684,0.3,0.6842105263157895,0.9473684210526315,0.722,0.3684210526315789,0.7368421052631579,1.105263157894737,0.7894736842105263,0.47368421052631576,0.05263157894736842,0.3157894736842105,0.3157894736842105,3.526315789473684,73.25,186.8
43,Bradley Beal,32.1875,6.625,13.125,0.505,1.9166666666666667,4.854166666666667,0.395,2.1666666666666665,2.6666666666666665,0.813,0.6875,2.7291666666666665,3.4166666666666665,3.625,1.0208333333333333,0.5208333333333334,1.9166666666666667,2.5625,17.333333333333332,75.25,201.8
44,Brandon Armstrong,7.75,1.1607142857142858,3.125,0.371,0.3392857142857143,0.9285714285714286,0.365,0.03571428571428571,0.07142857142857142,0.5,0.21428571428571427,0.5535714285714286,0.7678571428571429,0.25,0.21428571428571427,0.03571428571428571,0.42857142857142855,0.875,2.6964285714285716,75.5,188.0
45,Brandon Clarke,18.859375,3.6875,5.9375,0.621,0.015625,0.265625,0.059,0.953125,1.359375,0.701,1.984375,3.109375,5.09375,1.03125,0.8125,0.5625,0.640625,2.265625,8.34375,79.25,207.2
46,Brandon Davies,15.666666666666666,2.037037037037037,5.074074074074074,0.401,0.2962962962962963,1.2592592592592593,0.235,0.8888888888888888,1.3703703703703705,0.649,1.4074074074074074,1.6666666666666667,3.074074074074074,1.1111111111111112,0.6666666666666666,0.25925925925925924,1.0740740740740742,2.185185185185185,5.2592592592592595,80.5,241.8
47,Brandon Paul,9.0,0.859375,1.984375,0.433,0.234375,0.84375,0.278,0.34375,0.671875,0.512,0.09375,0.96875,1.0625,0.578125,0.390625,0.109375,0.453125,0.90625,2.296875,74.75,201.0
48,Brandon Roy,24.4,2.2,7.0,0.314,0.0,1.8,0.0,1.4,2.0,0.7,0.6,2.2,2.8,4.6,0.6,0.0,1.4,1.0,5.8,77.25,207.0
49,Brandon Rush,21.914893617021278,1.4893617021276595,3.978723404255319,0.374,0.9361702127659575,2.425531914893617,0.386,0.2765957446808511,0.3829787234042553,0.722,0.3404255319148936,1.7659574468085106,2.106382978723404,0.9574468085106383,0.46808510638297873,0.48936170212765956,0.5957446808510638,0.8936170212765957,4.191489361702128,77.0,211.4
50,Brian Bowen,2.5,0.16666666666666666,0.6666666666666666,0.25,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,78.25,202.0
51,Brian Cook,8.625,0.96875,3.0625,0.316,0.3125,1.5625,0.2,0.28125,0.3125,0.9,0.3125,1.65625,1.96875,0.3125,0.1875,0.15625,0.34375,1.5,2.53125,81.5,234.0
52,Brice Johnson,5.444444444444445,1.1111111111111112,2.3333333333333335,0.476,0.0,0.05555555555555555,0.0,0.16666666666666666,0.2777777777777778,0.6,0.5,1.2222222222222223,1.7222222222222223,0.1111111111111111,0.5,0.3333333333333333,0.2777777777777778,0.7222222222222222,2.388888888888889,81.0,208.6
53,Brook Lopez,32.013698630136986,4.821917808219178,9.561643835616438,0.504,1.7534246575342465,4.726027397260274,0.371,1.4383561643835616,1.7397260273972603,0.827,1.4383561643835616,3.5616438356164384,5.0,1.7808219178082192,0.684931506849315,1.8493150684931507,1.0273972602739727,2.136986301369863,12.835616438356164,83.25,258.0
54,Bruce Brown,22.16216216216216,3.027027027027027,7.27027027027027,0.416,0.6756756756756757,2.054054054054054,0.329,1.3243243243243243,1.5945945945945945,0.831,1.027027027027027,2.918918918918919,3.945945945945946,1.945945945945946,0.8648648648648649,0.24324324324324326,0.972972972972973,1.7297297297297298,8.054054054054054,75.5,194.6
55,Buddy Hield,23.0,4.0675675675675675,9.64864864864865,0.422,2.472972972972973,6.662162162162162,0.371,0.6891891891891891,0.8378378378378378,0.823,0.5945945945945946,2.6621621621621623,3.2567567567567566,1.7567567567567568,0.8918918918918919,0.28378378378378377,1.1756756756756757,1.6081081081081081,11.297297297297296,75.75,212.4
56,Byron Mullens,9.2,1.6222222222222222,3.6666666666666665,0.442,0.7333333333333333,1.9777777777777779,0.371,0.2222222222222222,0.4444444444444444,0.5,0.5333333333333333,1.511111111111111,2.0444444444444443,0.3111111111111111,0.3333333333333333,0.24444444444444444,0.6,1.4222222222222223,4.2,83.75,258.2
